Item;Quantity;Price;Link
ESP32 38 Pins;1;8.89 USD;https://elimex.bg/product/75823-komplekt-provodnitsi-40-broya-s-konektori-mazhki-zhenski-30sm
ESP32-CAM Module;1;7.50 USD;https://www.ardboard.com/index.php?route=product/product&product_id=273&search=cam
L298N Motor Driver;1;4.60 USD;https://elimex.bg/product/71197-kit-k2010-drayver-za-postoyannotokovi-motori
Car Chasis (4WD);1;20.93 USD;https://elimex.bg/product/84826-shasi-za-robot-4wd-s-4-motora-i-2-osnovi-kit-za-sglobqvane
18650 Battery;2;5.77 USD x2 = 11.54 USD;https://elimex.bg/product/85664-akumulator-3.7v-3400mah-lc18650-lava
Battery holder;4;0.56 USD;https://elimex.bg/product/77722-battery-holder-lc18650
2S BMS;1;1.52 USD;https://elimex.bg/product/77415-bsmpcm-kontroler-za-zaryada-i-razryada-na-li-ion-paket-2x18650-7-4v-8-4v3a
Power Switch;1;0.35 USD;https://elimex.bg/product/44024-switch-smrs101-1-black
Jumper Cables;            ~30;2.86 USD + 2.27 USD = 5.13 USD;https://elimex.bg/product/75823-komplekt-provodnitsi-40-broya-s-konektori-mazhki-zhenski-30sm](https://elimex.bg/product/75823-komplekt-provodnitsi-40-broya-s-konektori-mazhki-zhenski-30sm AND https://elimex.bg/product/74894-komplekt-provodnitsi-40-broya-s-konektori-mazhki-mazhki-20sm
Servo motor;4;10.67 USD x4 = 42.68 USD;https://elimex.bg/product/86312-kit-k2263-mg90s-390-mikro-servo-motor-metalni-zubni-kolela
metal gripper;1;16.21 USD;https://elimex.bg/product/87062-mehanichna-shtipka-za-robo-platforma-maqueen
LoRa Module;1;11.15 USD;https://www.ardboard.com/lora-ra-02-433MHz?search=LoRa
LoRa Antenna;1;2.86 USD;https://www.ardboard.com/433mhz-spring-ipex-antenna?search=LoRa
GP-01 Gps tracker;1;12.22 USD;https://www.ardboard.com/index.php?route=product/product&product_id=423&search=gps
